model,accuracy,sensitivity,specificity,precision,f1,mcc,kappa,roc_auc,pr_auc,brier,tp,tn,fp,fn
Fusion: feature-level,0.89,0.948,0.835,0.844,0.893,0.786,0.781,0.957,0.952,0.082,92,86,17,5
Image: EfficientNetB0,0.835,0.784,0.883,0.864,0.822,0.672,0.669,0.938,0.944,0.101,76,91,12,21
Fusion: late (stacked),0.83,0.804,0.854,0.839,0.821,0.66,0.659,0.935,0.942,0.107,78,88,15,19
Image: MobileNetV2,0.855,0.784,0.922,0.905,0.84,0.715,0.709,0.935,0.941,0.102,76,95,8,21
Image: DenseNet121,0.825,0.918,0.738,0.767,0.836,0.664,0.652,0.932,0.935,0.116,89,76,27,8
Image: ResNet50,0.79,0.856,0.728,0.748,0.798,0.587,0.581,0.927,0.934,0.116,83,75,28,14
Clinical: Logistic Regression,0.665,0.66,0.67,0.653,0.656,0.33,0.33,0.715,0.645,0.218,64,69,34,33
Clinical: SVM (RBF),0.64,0.701,0.583,0.613,0.654,0.285,0.282,0.706,0.676,0.222,68,60,43,29
Clinical: XGBoost,0.59,0.66,0.524,0.566,0.61,0.186,0.183,0.611,0.575,0.298,64,54,49,33
Clinical: Random Forest,0.565,0.639,0.495,0.544,0.588,0.136,0.134,0.606,0.589,0.283,62,51,52,35
Clinical: MLP,0.55,0.66,0.447,0.529,0.587,0.109,0.106,0.589,0.525,0.309,64,46,57,33
